unique_id,name,age,gender,gain_weight,lose_weight,maintain_weight,hyper_athlete,location
1,Fatma,31,Female,1,0,0,0,Egypt - Giza
2,Racha,27,Female,0,0,1,0,Tunisia - Sousse
3,Ziad,58,Male,0,0,1,0,Uae - Abu Dhabi
4,Ibrahim,43,Male,0,0,1,0,Tunisia - Sousse
5,Faris,41,Male,0,1,0,0,Algeria - Constantine
6,Jamal,29,Male,1,0,0,0,Jordan - Amman
7,Imen,21,Female,0,0,0,1,Tunisia - Sfax
8,Sara,30,Female,0,1,0,1,Tunisia - Sousse
9,Samar,59,Female,0,0,0,1,Lebanon - Beirut
10,Racha,49,Female,0,0,0,1,Algeria - Algiers
11,Tariq,32,Male,0,1,0,0,Morocco - Casablanca
12,Yasmin,34,Female,0,1,0,0,Tunisia - Tunis
13,Imen,18,Female,1,1,0,0,Morocco - Casablanca
14,Yasmin,47,Female,0,1,0,0,Egypt - Alexandria
15,Salma,39,Female,1,1,0,1,Kuwait - Kuwait City
16,Samir,51,Male,0,0,1,0,Qatar - Doha
17,Farah,59,Female,1,0,0,0,Egypt - Cairo
18,Ziad,33,Male,1,0,0,0,Kuwait - Kuwait City
19,Ali,24,Male,1,1,0,1,Morocco - Marrakech
20,Ibrahim,22,Male,1,0,0,0,Uae - Sharjah
21,Fatma,52,Female,1,0,0,0,Tunisia - Ben Arous
22,Karim,50,Male,1,0,0,0,Saudi Arabia - Riyadh
23,Sara,28,Female,1,0,1,0,Tunisia - Tunis
24,Mariam,30,Female,0,0,0,1,Algeria - Oran
25,Nabil,32,Male,1,0,0,0,Saudi Arabia - Jeddah
26,Bilal,38,Male,1,1,0,1,Qatar - Doha
27,Racha,28,Female,1,0,0,0,Tunisia - Ben Arous
28,Bilal,36,Male,0,0,1,0,Tunisia - Sousse
29,Samar,18,Female,0,0,1,0,Tunisia - Tunis
30,Ahmed,55,Male,0,0,0,1,Lebanon - Beirut
31,Salma,33,Female,0,1,0,0,Morocco - Rabat
32,Ziad,33,Male,1,1,0,1,Egypt - Giza
33,Bilal,46,Male,0,0,1,0,Egypt - Alexandria
34,Omar,55,Male,1,1,0,0,Tunisia - Tunis
35,Hassan,29,Male,1,1,0,0,Saudi Arabia - Riyadh
36,Karim,44,Male,0,0,0,1,Egypt - Alexandria
37,Amina,43,Female,1,0,0,0,Egypt - Alexandria
38,Lina,36,Female,0,0,0,1,Morocco - Marrakech
39,Amina,23,Female,1,0,0,0,Egypt - Alexandria
40,Yasmin,53,Female,0,0,1,0,Qatar - Doha
41,Moussa,39,Male,0,1,1,0,Jordan - Amman
42,Farah,59,Female,0,0,1,0,Lebanon - Beirut
43,Moussa,37,Male,0,0,0,1,Algeria - Constantine
44,Nadia,43,Female,1,0,0,0,Kuwait - Kuwait City
45,Yasmin,24,Female,0,0,1,0,Uae - Abu Dhabi
46,Adel,50,Male,0,0,0,1,Uae - Abu Dhabi
47,Racha,32,Female,0,0,0,1,Morocco - Casablanca
48,Faris,42,Male,0,0,0,1,Morocco - Marrakech
49,Reem,21,Female,1,0,0,0,Egypt - Cairo
50,Wafa,51,Female,0,1,0,0,Saudi Arabia - Jeddah
51,Nabil,56,Male,1,0,0,0,Morocco - Marrakech
52,Hadi,24,Male,0,0,1,0,Morocco - Marrakech
53,Rania,32,Female,0,1,0,0,Tunisia - Ben Arous
54,Faris,41,Male,0,1,0,0,Uae - Abu Dhabi
55,Hajar,50,Female,0,0,1,0,Saudi Arabia - Jeddah
56,Tariq,37,Male,1,0,0,0,Egypt - Alexandria
57,Nadia,54,Female,1,0,0,0,Morocco - Casablanca
58,Wafa,18,Female,0,0,1,0,Morocco - Marrakech
59,Rami,34,Male,0,1,0,0,Morocco - Rabat
60,Karim,26,Male,0,0,1,1,Algeria - Algiers
61,Souad,26,Female,1,1,1,1,Morocco - Casablanca
62,Khaled,28,Male,0,1,1,0,Uae - Sharjah
63,Nadia,20,Female,1,1,1,0,Saudi Arabia - Jeddah
64,Samar,37,Female,0,0,0,1,Morocco - Casablanca
65,Farah,44,Female,0,1,0,1,Egypt - Cairo
66,Farah,57,Female,0,1,0,0,Jordan - Amman
67,Jamal,47,Male,0,1,0,0,Uae - Sharjah
68,Imen,48,Female,1,1,0,0,Saudi Arabia - Riyadh
69,Sara,18,Female,0,1,0,0,Algeria - Algiers
70,Nabil,25,Male,0,1,0,0,Kuwait - Kuwait City
71,Omar,40,Male,0,0,0,1,Saudi Arabia - Dammam
72,Nour,35,Female,0,1,0,0,Qatar - Doha
73,Hassan,36,Male,0,1,0,0,Uae - Abu Dhabi
74,Dounia,42,Female,0,1,0,0,Egypt - Cairo
75,Hassan,32,Male,1,1,0,0,Morocco - Rabat
76,Samar,25,Female,0,1,1,0,Jordan - Amman
77,Samir,18,Male,0,1,0,0,Kuwait - Kuwait City
78,Tariq,30,Male,0,0,1,0,Uae - Dubai
79,Reem,18,Female,0,1,0,0,Algeria - Algiers
80,Mariam,48,Female,0,0,1,0,Egypt - Alexandria
81,Racha,51,Female,0,1,0,0,Saudi Arabia - Jeddah
82,Dalila,18,Female,1,0,0,0,Uae - Dubai
